UniProt Acc(canonical),status,gene_symbol,reviewed_isoforms,unreviewed_isoforms
P32320-1,reviewed,CDA,P32320-1,
P0CW00-1,reviewed,TSPY8,P0CW00-1,A6NDJ3-1
Q68DV7-1,reviewed,RNF43,Q68DV7-1|Q68DV7-2|Q68DV7-3|Q68DV7-4,J3KSE3-1
Q12830-1,reviewed,BPTF,Q12830-1|Q12830-2|Q12830-4,A0A0A0MR81-1
Q9H628-1,reviewed,RERGL,Q9H628-1,G5EA41-1
P60568-1,reviewed,IL2,P60568-1,
Q8IWT6-1,reviewed,LRRC8A,Q8IWT6-1,
Q13200-1,reviewed,PSMD2,Q13200-1|Q13200-2|Q13200-3,H7C1H2-1
Q99613-1,reviewed,EIF3C,Q99613-1|Q99613-2,H3BTY8-1
Q86YV6-1,reviewed,MYLK4,Q86YV6-1|Q86YV6-2,
Q8IWC1-1,reviewed,MAP7D3,Q8IWC1-1|Q8IWC1-2|Q8IWC1-3|Q8IWC1-4,A0A0A0MRP0-1
Q86VE3-1,reviewed,SATL1,Q86VE3-1|Q86VE3-2|Q86VE3-3,
K7ELZ2-1,unreviewed,ENSG00000267552,,K7ELZ2-1
Q4V348-1,reviewed,HGNC:32033,Q4V348-1,
O15315-3,reviewed,RAD51B,O15315-3|O15315-1|O15315-2|O15315-4|O15315-5,F8WAY6-1
A8MWV9-1,reviewed,-,A8MWV9-1,
Q6ZP68-1,reviewed,HGNC:33793,Q6ZP68-1,
A6NMK7-1,reviewed,CPSF4L,A6NMK7-1,H9KVA5-1
Q6PH85-1,reviewed,DCUN1D2,Q6PH85-1|Q6PH85-2,H7C216-1
O43148-1,reviewed,RNMT,O43148-1|O43148-2,K7EP06-1
Q8IXI1-1,reviewed,RHOT2,Q8IXI1-1|Q8IXI1-2,H3BMP9-1
Q6ZRH7-1,reviewed,CATSPERG,Q6ZRH7-1,X1WI24-1
Q8N7N1-1,reviewed,FAM86B1,Q8N7N1-1|Q8N7N1-2,E9PLC7-1
Q9Y698-1,reviewed,CACNG2,Q9Y698-1,
Q96LR5-1,reviewed,UBE2E2,Q96LR5-1,F8WF15-1
Q9NSY1-1,reviewed,BMP2K,Q9NSY1-1|Q9NSY1-2|Q9NSY1-3,K4DI97-1
H7BZ11-1,unreviewed,RPL36A-HNRNPH2,,H7BZ11-1
Q7Z7M8-1,reviewed,B3GNT8,Q7Z7M8-1,
Q9UBF6-1,reviewed,RNF7,Q9UBF6-1|Q9UBF6-2|Q9UBF6-3|Q9UBF6-4,F8WEU8-1
Q96P44-1,reviewed,COL21A1,Q96P44-1|Q96P44-2|Q96P44-3,H0Y4C9-1
Q30167-1,reviewed,HLA-DRB1,Q30167-1,A0A140T958-1
Q9Y442-1,reviewed,HGNC:23051,Q9Y442-1|Q9Y442-2,
Q6IMI6-1,reviewed,SULT1C3,Q6IMI6-1|Q6IMI6-2,
Q9Y5H8-1,reviewed,PCDHA3,Q9Y5H8-1|Q9Y5H8-2,
P05814-1,reviewed,CSN2,P05814-1,
Q8N4E7-1,reviewed,FTMT,Q8N4E7-1,
Q8WYL5-1,reviewed,SSH1,Q8WYL5-1|Q8WYL5-2|Q8WYL5-3|Q8WYL5-4|Q8WYL5-5,F8VS18-1
Q9NRX5-1,reviewed,SERINC1,Q9NRX5-1,
Q9BXP5-1,reviewed,SRRT,Q9BXP5-1|Q9BXP5-2|Q9BXP5-3|Q9BXP5-4|Q9BXP5-5,A0A286YEP7-1
P40261-1,reviewed,NNMT,P40261-1,
Q5JNZ3-1,reviewed,ZNF311,Q5JNZ3-1,
A0A1W2PRG6-1,unreviewed,ENSG00000284299,,A0A1W2PRG6-1
P04424-1,reviewed,ASL,P04424-1|P04424-2|P04424-3,F8W943-1
Q8NGR3-1,reviewed,OR1K1,Q8NGR3-1,
Q9NZI6-1,reviewed,TFCP2L1,Q9NZI6-1,
Q96LQ0-1,reviewed,PPP1R36,Q96LQ0-1,G3V5S6-1
Q8IVH4-1,reviewed,MMAA,Q8IVH4-1,D6RIS5-1
O43708-1,reviewed,GSTZ1,O43708-1|O43708-2|O43708-3,G3V3B9-1
O14646-1,reviewed,CHD1,O14646-1|O14646-2,A0A087WVF4-1
A0A0B4J1U7-1,reviewed,IGHV6-1,A0A0B4J1U7-1,
O14933-1,reviewed,UBE2L6,O14933-1|O14933-2,E9PKW8-1
Q9NV06-1,reviewed,DCAF13,Q9NV06-1|Q9NV06-2,B3KME9-1
Q9H478-1,reviewed,HGNC:13335,Q9H478-1,
Q8NFA0-1,reviewed,USP32,Q8NFA0-1|Q8NFA0-2,K7EKZ1-1
Q6PJI9-1,reviewed,WDR59,Q6PJI9-1|Q6PJI9-2|Q6PJI9-3|Q6PJI9-4,B7Z7V6-1
Q96AY4-1,reviewed,TTC28,Q96AY4-1,B0QYP5-1
Q13439-1,reviewed,GOLGA4,Q13439-1|Q13439-3|Q13439-4|Q13439-5,C9J0Y3-1
Q15772-5,reviewed,SPEG,Q15772-5|Q15772-3|Q15772-4|Q15772-1,B9ZVR7-1
Q86VQ3-1,reviewed,TXNDC2,Q86VQ3-1|Q86VQ3-2|Q86VQ3-3,J3QSG5-1
Q96JQ5-1,reviewed,MS4A4A,Q96JQ5-1|Q96JQ5-2,H0YE49-1
P40205-1,reviewed,HGNC:16911,P40205-1,
Q5T035-1,reviewed,C9orf129,Q5T035-1,
Q8IYD9-1,reviewed,C18orf54,Q8IYD9-1|Q8IYD9-2,J3KS56-1
Q9NVM4-1,reviewed,PRMT7,Q9NVM4-1|Q9NVM4-2|Q9NVM4-3|Q9NVM4-4,H3BPZ8-1
O95045-1,reviewed,UPP2,O95045-1|O95045-2,
Q99878-1,reviewed,HIST1H2AJ,Q99878-1,
Q96NB2-1,reviewed,SFXN2,Q96NB2-1,R4GMX4-1
Q86XN7-1,reviewed,PROSER1,Q86XN7-1|Q86XN7-2,Q5JS36-1
Q9GZP9-1,reviewed,DERL2,Q9GZP9-1,I3L0R8-1
P18669-1,reviewed,PGAM1,P18669-1,
P0C7V4-1,reviewed,HGNC:32263,P0C7V4-1,
O94829-1,reviewed,IPO13,O94829-1,Q5T4X2-1
Q8N9N7-1,reviewed,LRRC57,Q8N9N7-1,H3BSW0-1
Q05516-1,reviewed,ZBTB16,Q05516-1|Q05516-2,F5H6C3-1
Q7Z4V0-1,reviewed,ZNF438,Q7Z4V0-1|Q7Z4V0-2|Q7Z4V0-3,Q5T427-1
H3BNX3-1,unreviewed,ENSG00000260170,,H3BNX3-1
Q8IW03-1,reviewed,SIAH3,Q8IW03-1,
P17024-1,reviewed,ZNF20,P17024-1,M0QYR3-1
Q9BX66-1,reviewed,SORBS1,Q9BX66-1|Q9BX66-2|Q9BX66-3|Q9BX66-4|Q9BX66-5|Q9BX66-6|Q9BX66-7|Q9BX66-8|Q9BX66-9|Q9BX66-10|Q9BX66-11|Q9BX66-12,A0A0U1RQI5-1
H0YHM3-1,unreviewed,ENSG00000258150,,H0YHM3-1
Q504U0-1,reviewed,C4orf46,Q504U0-1,D6RFF4-1
P0DMV9-1,reviewed,HSPA1B,P0DMV9-1,A0A0G2JIW1-1
Q9UBH0-1,reviewed,IL36RN,Q9UBH0-1,U3KPW9-1
Q9H1P3-1,reviewed,OSBPL2,Q9H1P3-1|Q9H1P3-2,A0A087WTV1-1
Q96MF4-1,reviewed,CCDC140,Q96MF4-1,C9K0E1-1
Q96I34-1,reviewed,PPP1R16A,Q96I34-1,A0A087WWZ0-1
P05154-1,reviewed,SERPINA5,P05154-1,G3V3Y3-1
Q6PI78-1,reviewed,TMEM65,Q6PI78-1,
O43463-1,reviewed,SUV39H1,O43463-1|O43463-2,
P52434-1,reviewed,POLR2H,P52434-1|P52434-2|P52434-3|P52434-4|P52434-5,C9JJJ9-1
Q502X0-1,reviewed,MORN2,Q502X0-1,F8WEM8-1
Q96ET8-1,reviewed,TVP23C,Q96ET8-1|Q96ET8-2|Q96ET8-3,E5RGC5-1
Q9NYP7-1,reviewed,ELOVL5,Q9NYP7-1|Q9NYP7-2|Q9NYP7-3,A0A0A0MTI6-1
Q01813-1,reviewed,PFKP,Q01813-1|Q01813-2,V9GYV7-1
P27544-1,reviewed,CERS1,P27544-1|P27544-2,A0A024R7N8-1
Q8IYD1-1,reviewed,GSPT2,Q8IYD1-1,
Q9Y6C7-1,reviewed,HGNC:6662,Q9Y6C7-1,
Q8NGN7-1,reviewed,HGNC:14770,Q8NGN7-1,
Q13595-1,reviewed,TRA2A,Q13595-1|Q13595-2|Q13595-3|Q13595-4,F8WEH2-1
Q8WWK9-1,reviewed,CKAP2,Q8WWK9-1|Q8WWK9-4|Q8WWK9-6|Q8WWK9-5,C9J649-1
P57077-1,reviewed,MAP3K7CL,P57077-1|P57077-2|P57077-3|P57077-4,B4DFW0-1
Q96GX5-1,reviewed,MASTL,Q96GX5-1|Q96GX5-2|Q96GX5-3,A0A087WUU7-1
P15515-1,reviewed,HTN1,P15515-1,
Q460N5-6,reviewed,PARP14,Q460N5-6|Q460N5-1|Q460N5-3|Q460N5-4|Q460N5-5,H7C4Y3-1
Q5TID7-1,reviewed,CCDC181,Q5TID7-1|Q5TID7-2|Q5TID7-3,X6RJ50-1
Q9NRZ9-1,reviewed,HELLS,Q9NRZ9-1|Q9NRZ9-2|Q9NRZ9-3|Q9NRZ9-4|Q9NRZ9-5|Q9NRZ9-6|Q9NRZ9-7|Q9NRZ9-8|Q9NRZ9-9,B1ALG6-1
Q9BW04-1,reviewed,C1orf116,Q9BW04-1|Q9BW04-2,
Q9H0W7-1,reviewed,THAP2,Q9H0W7-1,F8VW94-1
Q96S52-1,reviewed,PIGS,Q96S52-1|Q96S52-2,H0Y2N5-1
A0A087WV48-1,unreviewed,ENSG00000274322,,A0A087WV48-1
Q96Q15-1,reviewed,SMG1,Q96Q15-1|Q96Q15-2|Q96Q15-3|Q96Q15-4,A0A087X1K8-1
Q8N8V8-1,reviewed,TMEM105,Q8N8V8-1,I3L4P7-1
P01703-1,reviewed,IGLV1-40,P01703-1,
A1L190-1,reviewed,SYCE3,A1L190-1,
Q8NCW6-1,reviewed,GALNT11,Q8NCW6-1|Q8NCW6-2,C9JPR8-1
Q9BYU5-1,reviewed,KRTAP2-1,Q9BYU5-1,F5H1T9-1
Q9P2M7-1,reviewed,CGN,Q9P2M7-1|Q9P2M7-2,H0Y4A8-1
Q6U7Q0-1,reviewed,ZNF322,Q6U7Q0-1,C9JP13-1
Q16798-1,reviewed,ME3,Q16798-1|Q16798-2,E9PNN2-1
A6NLI5-1,reviewed,TRIM64C,A6NLI5-1,A0A087WYH8-1
P0CJ88-1,reviewed,HGNC:38689,P0CJ88-1,
Q9Y6X9-1,reviewed,MORC2,Q9Y6X9-1|Q9Y6X9-2,H7C1V1-1
Q96KR6-1,reviewed,FAM210B,Q96KR6-1,H0Y456-1
Q9H2Y7-1,reviewed,ZNF106,Q9H2Y7-1|Q9H2Y7-2,A0A0C4DGM5-1
Q9UBD6-1,reviewed,RHCG,Q9UBD6-1,H0YM79-1
Q8NEJ0-1,reviewed,DUSP18,Q8NEJ0-1,F8VX42-1
Q9Y5T4-1,reviewed,DNAJC15,Q9Y5T4-1,
A0JD32-1,unreviewed,TRAV38-2DV8,,A0JD32-1
P55286-1,reviewed,CDH8,P55286-1,J3KT81-1
Q9NR22-1,reviewed,PRMT8,Q9NR22-1|Q9NR22-2,
A8MXK9-1,reviewed,-,A8MXK9-1|A8MXK9-2,
A0A0U1RR47-1,unreviewed,SPTY2D1OS,,A0A0U1RR47-1
A0AVT1-1,reviewed,UBA6,A0AVT1-1|A0AVT1-2|A0AVT1-3|A0AVT1-4,H0Y9U5-1
Q15527-1,reviewed,SURF2,Q15527-1,
P20962-1,reviewed,PTMS,P20962-1,F5GXR3-1
Q9Y5P1-1,reviewed,OR51B2,Q9Y5P1-1,
P07199-1,reviewed,CENPB,P07199-1,
P62191-1,reviewed,PSMC1,P62191-1|P62191-2,G3V4X1-1
O14511-1,reviewed,NRG2,O14511-1|O14511-2|O14511-3|O14511-4|O14511-5|O14511-6|O14511-7|O14511-8,F5GZS7-1
Q9NXG6-1,reviewed,P4HTM,Q9NXG6-1|Q9NXG6-2|Q9NXG6-3,V9GYK5-1
Q9Y232-1,reviewed,CDYL,Q9Y232-1|Q9Y232-2|Q9Y232-3|Q9Y232-4,C9JQG7-1
Q5TD94-1,reviewed,RSPH4A,Q5TD94-1|Q5TD94-2|Q5TD94-3,
Q6XE38-1,reviewed,SCGB1D4,Q6XE38-1,
Q8WX92-1,reviewed,NELFB,Q8WX92-1,A0A0X1KG71-1
P59533-1,reviewed,TAS2R38,P59533-1,
Q9UBX5-1,reviewed,FBLN5,Q9UBX5-1,G3V329-1
P54802-1,reviewed,NAGLU,P54802-1,K7ENX5-1
Q9BQD3-1,reviewed,KXD1,Q9BQD3-1,M0QXN9-1
P20618-1,reviewed,PSMB1,P20618-1,
Q96Q35-1,reviewed,ALS2CR12,Q96Q35-1|Q96Q35-2,C9JZS0-1
P50616-1,reviewed,TOB1,P50616-1,
D6RIA3-1,unreviewed,ENSG00000248713,,D6RIA3-1
H3BR10-1,reviewed,SMLR1,H3BR10-1,
Q8NDZ9-1,reviewed,-,Q8NDZ9-1,
P09629-1,reviewed,HOXB7,P09629-1,
Q495M9-1,reviewed,USH1G,Q495M9-1,J3KSN5-1
Q9NRJ1-1,reviewed,HGNC:17737,Q9NRJ1-1,
Q9BZD7-1,reviewed,PRRG3,Q9BZD7-1,H7C0C2-1
E9PLD3-1,unreviewed,ENSG00000255432,,E9PLD3-1
Q8WXF7-1,reviewed,ATL1,Q8WXF7-1|Q8WXF7-2,G3V321-1
Q93083-1,reviewed,HGNC:7404,Q93083-1,
Q6UX65-1,reviewed,DRAM2,Q6UX65-1,S4R2Z2-1
A0A1B0GUS0-1,unreviewed,ENSG00000283567,,A0A1B0GUS0-1
A6ND91-1,reviewed,ASPDH,A6ND91-1|A6ND91-2,M0QZ80-1
O95343-1,reviewed,SIX3,O95343-1,
Q5TF39-1,reviewed,MFSD4B,Q5TF39-1,
Q15053-1,reviewed,KIAA0040,Q15053-1,J3QR46-1
B4E2M5-1,reviewed,ANKRD66,B4E2M5-1,H3BTF0-1
Q8WYQ3-1,reviewed,CHCHD10,Q8WYQ3-1,E5RGN4-1
Q14894-1,reviewed,CRYM,Q14894-1,I3L3J9-1
Q6ZTC4-1,reviewed,-,Q6ZTC4-1,
Q8TEW6-1,reviewed,DOK4,Q8TEW6-1,H3BQ19-1
Q13216-1,reviewed,ERCC8,Q13216-1|Q13216-2,G3XAG7-1
Q9UHW9-1,reviewed,SLC12A6,Q9UHW9-1|Q9UHW9-2|Q9UHW9-3|Q9UHW9-4|Q9UHW9-5|Q9UHW9-6,B3KXX3-1
Q9Y2G8-1,reviewed,DNAJC16,Q9Y2G8-1|Q9Y2G8-2,Q5TDG9-1
Q9H4Z3-1,reviewed,PCIF1,Q9H4Z3-1,A0A087WWZ2-1
Q8WV92-1,reviewed,MITD1,Q8WV92-1,F8WED5-1
M0QYV0-1,unreviewed,ENSG00000268643,,M0QYV0-1
P18510-1,reviewed,IL1RN,P18510-1|P18510-2|P18510-3|P18510-4,
Q8NGP6-1,reviewed,OR5M8,Q8NGP6-1,
Q9BYW1-1,reviewed,SLC2A11,Q9BYW1-1|Q9BYW1-2|Q9BYW1-3|Q9BYW1-4,F8WBG9-1
O60909-1,reviewed,B4GALT2,O60909-1|O60909-2|O60909-3,
Q8NGL9-1,reviewed,OR4C16,Q8NGL9-1,
A0A1W2PQV4-1,unreviewed,GOLGA8T,,A0A1W2PQV4-1
P26045-1,reviewed,PTPN3,P26045-1|P26045-2|P26045-3,J3KN34-1
H3BQ15-1,unreviewed,ENSG00000259784,,H3BQ15-1
Q9NSB2-1,reviewed,KRT84,Q9NSB2-1,
O60224-1,reviewed,SSX4,O60224-1|O60224-2,
Q9HC44-1,reviewed,GPBP1L1,Q9HC44-1,
P41587-1,reviewed,VIPR2,P41587-1|P41587-2,E9PCR5-1
Q9NWT1-1,reviewed,PAK1IP1,Q9NWT1-1,
Q01469-1,reviewed,FABP5,Q01469-1,I6L8B7-1
Q9Y259-1,reviewed,CHKB,Q9Y259-1|Q9Y259-2,
Q8TBN0-1,reviewed,RAB3IL1,Q8TBN0-1|Q8TBN0-2,E9PK89-1
Q96NL0-1,reviewed,RUNDC3B,Q96NL0-1|Q96NL0-2|Q96NL0-3|Q96NL0-4|Q96NL0-5,
Q9NRD0-1,reviewed,FBXO8,Q9NRD0-1|Q9NRD0-2,D6RIC0-1
Q9UIJ5-1,reviewed,ZDHHC2,Q9UIJ5-1,E5RFZ7-1
O60344-1,reviewed,ECE2,O60344-1|O60344-2|O60344-3|O60344-4|O60344-5,H0Y5G8-1
Q8N7X0-1,reviewed,ADGB,Q8N7X0-1|Q8N7X0-2,H0YBE5-1
P03950-1,reviewed,ANG,P03950-1,
Q8TDV0-1,reviewed,GPR151,Q8TDV0-1,
Q15466-1,reviewed,NR0B2,Q15466-1,
P35227-1,reviewed,PCGF2,P35227-1,A0A087X0Y6-1
P00751-1,reviewed,CFB,P00751-1|P00751-2,H7C5H1-1
O75781-1,reviewed,PALM,O75781-1|O75781-2,A0A087X1D6-1
Q16836-1,reviewed,HADH,Q16836-1|Q16836-2|Q16836-3,A0A1W2PNM1-1
P0C7T8-1,reviewed,TMEM253,P0C7T8-1,H0YLA3-1
P0DP08-1,reviewed,HGNC:5657,P0DP08-1,
Q5JXA9-1,reviewed,SIRPB2,Q5JXA9-1|Q5JXA9-2|Q5JXA9-3,V9GYW8-1
Q15544-1,reviewed,TAF11,Q15544-1|Q15544-2,
Q8NE31-1,reviewed,FAM13C,Q8NE31-1|Q8NE31-2|Q8NE31-3|Q8NE31-4|Q8NE31-5,B7Z2K3-1
O60774-1,reviewed,HGNC:24024,O60774-1,
Q9H6R0-1,reviewed,DHX33,Q9H6R0-1|Q9H6R0-2,Q05BE5-1
Q8IX07-1,reviewed,ZFPM1,Q8IX07-1,A0A087X1H8-1
Q16394-1,reviewed,EXT1,Q16394-1,H7C1H6-1
P33076-1,reviewed,CIITA,P33076-1|P33076-2|P33076-3|P33076-4,Q29704-1
Q8NA54-1,reviewed,IQUB,Q8NA54-1|Q8NA54-2,A1A4Z1-1
Q9BZJ8-1,reviewed,GPR61,Q9BZJ8-1,
Q6AZZ1-1,reviewed,TRIM68,Q6AZZ1-1|Q6AZZ1-2,E9PP83-1
O00762-1,reviewed,UBE2C,O00762-1|O00762-2|O00762-3|O00762-4,K4DI81-1
Q9ULY5-1,reviewed,CLEC4E,Q9ULY5-1,F8WFA1-1
H0Y5R9-1,unreviewed,ENSG00000248751,,H0Y5R9-1
P22079-1,reviewed,LPO,P22079-1|P22079-2,H0Y3I2-1
P55265-1,reviewed,ADAR,P55265-1|P55265-5|P55265-2|P55265-3|P55265-4,H0YCK3-1
Q5W0B1-1,reviewed,RNF219,Q5W0B1-1,
Q9BTU6-1,reviewed,PI4K2A,Q9BTU6-1,
Q8WYA6-1,reviewed,CTNNBL1,Q8WYA6-1|Q8WYA6-2|Q8WYA6-3|Q8WYA6-4,A0A087WUB9-1
O75900-1,reviewed,HGNC:7170,O75900-1|O75900-2|O75900-3,H0Y6I4-1
P55036-1,reviewed,PSMD4,P55036-1|P55036-2,H0Y561-1
Q5JTY5-1,reviewed,CBWD3,Q5JTY5-1|Q5JTY5-2,
Q7L3T8-1,reviewed,PARS2,Q7L3T8-1,
Q14CS0-1,reviewed,UBXN2B,Q14CS0-1,E5RJ36-1
P42263-1,reviewed,GRIA3,P42263-1|P42263-2,Q5XKG2-1
P15309-1,reviewed,ACPP,P15309-1|P15309-2|P15309-3,E9PFE6-1
Q02978-1,reviewed,SLC25A11,Q02978-1|Q02978-2,I3L1P8-1
Q6ZUB1-1,reviewed,SPATA31E1,Q6ZUB1-1,
Q9HAH1-1,reviewed,ZNF556,Q9HAH1-1,K7EKA5-1
Q07889-1,reviewed,SOS1,Q07889-1|Q07889-2,G5E9C8-1
Q92544-1,reviewed,TM9SF4,Q92544-1,F8WCN2-1
O75363-1,reviewed,BCAS1,O75363-1|O75363-2,H7C1E7-1
P84022-1,reviewed,SMAD3,P84022-1|P84022-2|P84022-3|P84022-4,H0YNV1-1
Q16445-1,reviewed,GABRA6,Q16445-1,E7EV53-1
Q9BXN1-1,reviewed,ASPN,Q9BXN1-1,Q5TBF2-1
A1IGU5-1,reviewed,ARHGEF37,A1IGU5-1,D6RJH4-1
P52569-1,reviewed,SLC7A2,P52569-1|P52569-2|P52569-3,A0A1W2PR06-1
O75594-1,reviewed,PGLYRP1,O75594-1,
Q96C92-1,reviewed,SDCCAG3,Q96C92-2|Q96C92-1|Q96C92-3|Q96C92-4,H7C331-1
P63172-1,reviewed,DYNLT1,P63172-1,Q5VTU5-1
Q3SY05-1,reviewed,HGNC:26865,Q3SY05-1|Q3SY05-2,
Q49B96-1,reviewed,COX19,Q49B96-1,F8WEL9-1
Q6DD87-1,reviewed,ZNF787,Q6DD87-1,M0R0X7-1
A6NCS6-1,reviewed,C2orf72,A6NCS6-1,
Q9UPS6-1,reviewed,SETD1B,Q9UPS6-2|Q9UPS6-1,A0A0A0MQV9-1
Q9Y2U9-1,reviewed,KLHDC2,Q9Y2U9-1|Q9Y2U9-2,G3V2H2-1
Q9UI15-1,reviewed,TAGLN3,Q9UI15-1,C9J5W6-1
P30484-1,reviewed,HLA-B,P30484-1,
A0A0J9YX75-1,unreviewed,ENSG00000282610,,A0A0J9YX75-1
B4DEV8-1,unreviewed,ENSG00000256206,,B4DEV8-1
Q07912-1,reviewed,TNK2,Q07912-1|Q07912-2|Q07912-3,H7BZZ3-1
Q14592-1,reviewed,ZNF460,Q14592-1|Q14592-2,M0R0J6-1
P49748-1,reviewed,ACADVL,P49748-1|P49748-2|P49748-3,K7EQP4-1
A0A0J9YXX1-1,reviewed,HGNC:5661,A0A0J9YXX1-1,
P63096-1,reviewed,GNAI1,P63096-1|P63096-2,C9J2Z2-1
P53779-1,reviewed,MAPK10,P53779-1|P53779-2|P53779-3,A0A286YF04-1
Q8IV20-1,reviewed,LACC1,Q8IV20-1,A2A3Z5-1
P0CG48-1,reviewed,UBC,P0CG48-1,F5H747-1
P11277-1,reviewed,SPTB,P11277-1|P11277-2|P11277-3,H0YJE6-1
A0A0C4DH63-1,unreviewed,TRGJP,,A0A0C4DH63-1
Q9P0Z9-1,reviewed,PIPOX,Q9P0Z9-1,K7EK30-1
P78364-1,reviewed,PHC1,P78364-1,F5H6P9-1
Q7Z2E3-1,reviewed,APTX,Q7Z2E3-1|Q7Z2E3-2|Q7Z2E3-3|Q7Z2E3-4|Q7Z2E3-5|Q7Z2E3-6|Q7Z2E3-7|Q7Z2E3-8|Q7Z2E3-9|Q7Z2E3-10|Q7Z2E3-11|Q7Z2E3-12|Q7Z2E3-13,A0A0A0MRW7-1
P67809-1,reviewed,YBX1,P67809-1,C9J5V9-1
Q9UMS6-1,reviewed,SYNPO2,Q9UMS6-1|Q9UMS6-2|Q9UMS6-3|Q9UMS6-4|Q9UMS6-5,B4E258-1
Q8IWY4-1,reviewed,SCUBE1,Q8IWY4-1,B1AH90-1
Q13772-1,reviewed,NCOA4,Q13772-1|Q13772-2|Q13772-3|Q13772-4,B4DZ85-1
Q969W9-1,reviewed,PMEPA1,Q969W9-1|Q969W9-2|Q969W9-3,A2A2F5-1
P56279-1,reviewed,TCL1A,P56279-1,H0YJR9-1
Q71RG6-1,reviewed,FP248,Q71RG6-1,
Q5VVX9-1,reviewed,UBE2U,Q5VVX9-1|Q5VVX9-2,V9GZ31-1
Q9H158-1,reviewed,PCDHAC1,Q9H158-1|Q9H158-2,
Q8N556-1,reviewed,AFAP1,Q8N556-1|Q8N556-2,A0A087X177-1
Q8NHQ9-1,reviewed,DDX55,Q8NHQ9-1|Q8NHQ9-2,E7EX41-1
D3DTV9-1,reviewed,PRAC2,D3DTV9-1,A0A087X2F6-1
Q504Y0-1,reviewed,SLC39A12,Q504Y0-1|Q504Y0-2|Q504Y0-3|Q504Y0-4|Q504Y0-5,
Q02083-1,reviewed,NAAA,Q02083-1|Q02083-2|Q02083-3,D6R9S9-1
Q9BX93-1,reviewed,PLA2G12B,Q9BX93-1|Q9BX93-2,
P25098-1,reviewed,GRK2,P25098-1,E9PRV7-1
Q6U736-1,reviewed,OPN5,Q6U736-1,D6RDV4-1
Q99547-1,reviewed,MPHOSPH6,Q99547-1,H3BNK8-1
Q9Y2S2-1,reviewed,CRYL1,Q9Y2S2-1|Q9Y2S2-2,A0A087WW38-1
P35579-1,reviewed,MYH9,P35579-1|P35579-2,Q5BKV1-1
P10696-1,reviewed,ALPPL2,P10696-1,
Q8WWX9-1,reviewed,SELENOM,Q8WWX9-1,A0A087WWF1-1
A0A087WW49-1,unreviewed,ENSG00000278263,,A0A087WW49-1
Q6F5E8-1,reviewed,CARMIL2,Q6F5E8-1|Q6F5E8-2,R4GMZ7-1
P56373-1,reviewed,P2RX3,P56373-1,H0YDR6-1
P31314-1,reviewed,TLX1,P31314-1|P31314-2,G3V1B7-1
Q5JR98-1,reviewed,TCTEX1D4,Q5JR98-1,
Q15046-1,reviewed,KARS,Q15046-1|Q15046-2,H3BMR9-1
P49683-1,reviewed,PRLHR,P49683-1,
Q8WUM0-1,reviewed,NUP133,Q8WUM0-1,
Q96AQ2-1,reviewed,TMEM125,Q96AQ2-1,E5RHB0-1
Q5EE01-1,reviewed,CENPW,Q5EE01-1|Q5EE01-2,A0A0A0MRK5-1
O94933-1,reviewed,SLITRK3,O94933-1,C9K0R4-1
Q8TDN2-1,reviewed,KCNV2,Q8TDN2-1,
Q8IZV2-1,reviewed,CMTM8,Q8IZV2-1|Q8IZV2-2,
A0A0J9YY54-1,unreviewed,TEX13D,,A0A0J9YY54-1
Q96F44-1,reviewed,TRIM11,Q96F44-1|Q96F44-2|Q96F44-3,R4GNB9-1
Q9NZP0-1,reviewed,OR6C3,Q9NZP0-1,
Q15077-1,reviewed,P2RY6,Q15077-1,F5GX90-1
O95905-1,reviewed,ECD,O95905-1|O95905-2|O95905-3,C9JGV1-1
H7C0S8-1,unreviewed,ENSG00000249319,,H7C0S8-1
P43121-1,reviewed,MCAM,P43121-1|P43121-2,
P30443-1,reviewed,HLA-A,P30443-1,A0A140T933-1
Q9BXL5-1,reviewed,HEMGN,Q9BXL5-1,
Q9H211-1,reviewed,CDT1,Q9H211-1,H3BSY1-1
O75935-1,reviewed,DCTN3,O75935-1|O75935-2|O75935-3,X6RCK5-1
Q6P9B6-1,reviewed,TLDC1,Q6P9B6-1,H3BUB0-1
Q86V21-1,reviewed,AACS,Q86V21-1|Q86V21-2|Q86V21-3,E7EW25-1
Q6S5H4-1,reviewed,POTEB,Q6S5H4-1|Q6S5H4-2|Q6S5H4-3,A0A0A6YYL3-1
P13598-1,reviewed,ICAM2,P13598-1,J3QQR8-1
Q8N309-1,reviewed,LRRC43,Q8N309-1|Q8N309-2|Q8N309-3,F5H0N3-1
O60925-1,reviewed,PFDN1,O60925-1,D6RGG5-1
M0R2I5-1,unreviewed,ENSG00000188897,,M0R2I5-1
Q12829-1,reviewed,RAB40B,Q12829-1,J3KN64-1
P0DJJ0-1,reviewed,SRGAP2C,P0DJJ0-1,A0A087X0L1-1
Q9H0U4-1,reviewed,RAB1B,Q9H0U4-1,E9PLD0-1
Q12788-1,reviewed,TBL3,Q12788-1,H3BN88-1
Q8NH83-1,reviewed,OR4A5,Q8NH83-1,
A0A075B6X0-1,unreviewed,TRAJ45,,A0A075B6X0-1
Q9BX63-1,reviewed,BRIP1,Q9BX63-1|Q9BX63-2,J3KS24-1
Q9Y278-1,reviewed,HS3ST2,Q9Y278-1,H3BMR2-1
